title,gender,student,year,semester,size,score
Associate Professor,f,MBA,2002,fall,114,12.7
Associate Professor,f,MBA,2002,fall,89,14.092
Associate Professor,f,MBA,2003,fall,84,17.832
Associate Professor,f,MBA,2002,fall,67,13.88
Associate Professor,f,MBA,2003,fall,46,18.52
Associate Professor,f,MBA,2004,fall,45,18.044
Associate Professor,f,MBA,2002,fall,38,12.736
Associate Professor,f,MBA,2002,fall,32,14.192
Associate Professor,f,MBA,2003,fall,31,17.732
Associate Professor,f,MBA,2004,fall,30,17.2
Associate Professor,f,Graduate,2002,fall,29,16.412
Associate Professor,f,MBA,2003,fall,29,18.144
Associate Professor,f,MBA,2004,fall,29,18.144
Associate Professor,f,Undergraduate,2004,fall,28,15.852
Associate Professor,f,MBA,2003,fall,23,13.74
Associate Professor,f,Undergraduate,2003,fall,22,16.544
Associate Professor,f,MBA,2004,fall,20,19
Associate Professor,f,MBA,2004,fall,20,18.104
Associate Professor,f,Graduate,2003,fall,19,17.556
Associate Professor,f,Graduate,2004,fall,15,18.856
Associate Professor,f,MBA,2002,fall,6,19.332
Associate Professor,m,MBA,2003,fall,135,17.196
Associate Professor,m,Undergraduate,2002,fall,130,17.924
Associate Professor,m,MBA,2004,fall,121,18.512
Associate Professor,m,Undergraduate,2002,fall,119,16.78
Associate Professor,m,Undergraduate,2003,fall,113,18.964
Associate Professor,m,MBA,2003,fall,110,13.176
Associate Professor,m,MBA,2003,fall,107,19.02
Associate Professor,m,Undergraduate,2002,fall,98,16.452
Associate Professor,m,MBA,2004,fall,92,13.956
Associate Professor,m,MBA,2003,fall,92,16.912
Associate Professor,m,Undergraduate,2003,fall,91,16.312
Associate Professor,m,MBA,2002,fall,88,18.668
Associate Professor,m,Graduate,2003,fall,88,18.436
Associate Professor,m,MBA,2003,fall,86,16
Associate Professor,m,Graduate,2002,fall,82,18.78
Associate Professor,m,MBA,2002,fall,76,16.852
Associate Professor,m,Graduate,2003,fall,75,18.488
Associate Professor,m,Graduate,2002,fall,72,18.424
Associate Professor,m,Graduate,2004,fall,70,14.628
Associate Professor,m,Undergraduate,2004,fall,68,17.972
Associate Professor,m,MBA,2003,fall,67,12.544
Associate Professor,m,MBA,2002,fall,66,11.692
Associate Professor,m,MBA,2003,fall,66,16.308
Associate Professor,m,Graduate,2004,fall,63,18.452
Associate Professor,m,Graduate,2004,fall,62,19.096
Associate Professor,m,MBA,2002,fall,62,17.444
Associate Professor,m,MBA,2002,fall,62,16.852
Associate Professor,m,MBA,2002,fall,61,19.068
Associate Professor,m,Graduate,2002,fall,59,18.068
Associate Professor,m,Graduate,2002,fall,58,16.28
Associate Professor,m,Graduate,2004,fall,57,18.456
Associate Professor,m,Undergraduate,2003,fall,54,16.964
Associate Professor,m,MBA,2004,fall,54,17.208
Associate Professor,m,MBA,2002,fall,54,13.508
Associate Professor,m,MBA,2002,fall,52,18.152
Associate Professor,m,MBA,2002,fall,52,17.492
Associate Professor,m,MBA,2003,fall,48,17.916
Associate Professor,m,Graduate,2002,fall,48,17.36
Associate Professor,m,Graduate,2003,fall,48,17.532
Associate Professor,m,Undergraduate,2002,fall,46,15.392
Associate Professor,m,MBA,2004,fall,45,18.488
Associate Professor,m,Undergraduate,2003,fall,46,17.156
Associate Professor,m,MBA,2002,fall,42,13.072
Associate Professor,m,MBA,2003,fall,41,16
Associate Professor,m,MBA,2004,fall,40,17.3
Associate Professor,m,MBA,2003,fall,41,16.5
Associate Professor,m,Undergraduate,2004,fall,41,12.9
Associate Professor,m,Undergraduate,2002,fall,40,16
Associate Professor,m,Graduate,2003,fall,39,14.564
Associate Professor,m,Graduate,2002,fall,40,17.948
Associate Professor,m,Graduate,2003,fall,39,16.924
Associate Professor,m,Undergraduate,2004,fall,39,16.844
Associate Professor,m,Undergraduate,2002,fall,38,16.864
Associate Professor,m,MBA,2002,fall,37,10.668
Associate Professor,m,MBA,2004,fall,35,16.916
Associate Professor,m,Undergraduate,2002,fall,36,18.056
Associate Professor,m,Graduate,2003,fall,36,18.856
Associate Professor,m,Graduate,2004,fall,35,17.764
Associate Professor,m,Graduate,2003,fall,34,18.824
Associate Professor,m,MBA,2002,fall,33,10.544
Associate Professor,m,Undergraduate,2003,fall,33,16.364
Associate Professor,m,MBA,2002,fall,33,14.624
Associate Professor,m,MBA,2002,fall,33,15.5
Associate Professor,m,Undergraduate,2002,fall,32,17.5
Associate Professor,m,Graduate,2002,fall,33,17.752
Associate Professor,m,MBA,2004,fall,32,18.708
Associate Professor,m,Undergraduate,2004,fall,28,18.144
Associate Professor,m,Graduate,2002,fall,28,16.856
Associate Professor,m,MBA,2004,fall,27,16.296
Associate Professor,m,MBA,2003,fall,27,15.076
Associate Professor,m,Undergraduate,2002,fall,26,16.152
Associate Professor,m,Undergraduate,2002,fall,26,13.28
Associate Professor,m,MBA,2004,fall,24,18.668
Associate Professor,m,Undergraduate,2004,fall,25,16.332
Associate Professor,m,Graduate,2004,fall,25,18.5
Associate Professor,m,Graduate,2002,fall,24,17.74
Associate Professor,m,MBA,2004,fall,22,16
Associate Professor,m,Undergraduate,2003,fall,22,13.456
Associate Professor,m,Undergraduate,2003,fall,21,17.144
Associate Professor,m,MBA,2003,fall,20,15.4
Associate Professor,m,Graduate,2004,fall,20,17.8
Associate Professor,m,Undergraduate,2004,fall,20,19.58
Associate Professor,m,Graduate,2004,fall,20,18.736
Associate Professor,m,Graduate,2002,fall,19,13.896
Associate Professor,m,Undergraduate,2002,fall,19,13.332
Associate Professor,m,Graduate,2004,fall,18,19.296
Associate Professor,m,Graduate,2002,fall,17,17.752
